Chain,Location Number,Location ID,State/ Province,Latitude,Longitude
Verizon Wireless,814,Verizon Wireless00814,CA,38.591583,-121.415825
Verizon Wireless,825,Verizon Wireless00825,CA,34.239248,-118.553614
Verizon Wireless,826,Verizon Wireless00826,CA,34.074055,-117.558411
Verizon Wireless,859,Verizon Wireless00859,CA,33.777164,-117.866753
Verizon Wireless,873,Verizon Wireless00873,CA,34.139477,-118.131798
Verizon Wireless,879,Verizon Wireless00879,CA,34.107159,-117.570847
Verizon Wireless,887,Verizon Wireless00887,CA,33.737835,-117.919174
Verizon Wireless,888,Verizon Wireless00888,CA,34.035739,-118.477739
Verizon Wireless,889,Verizon Wireless00889,CA,34.150332,-118.445413
Verizon Wireless,896,Verizon Wireless00896,CA,34.160418,-118.824536
Verizon Wireless,899,Verizon Wireless00899,CA,33.804615,-118.328499
Verizon Wireless,919,Verizon Wireless00919,CA,33.966938,-118.048424
Verizon Wireless,920,Verizon Wireless00920,CA,34.180027,-118.606361
Verizon Wireless,931,Verizon Wireless00931,CA,34.425958,-118.538316
Verizon Wireless,1759,Verizon Wireless01759,CA,32.799721,-115.570358
Verizon Wireless,1770,Verizon Wireless01770,CA,34.191453,-118.32855
Verizon Wireless,1771,Verizon Wireless01771,CA,32.704076,-117.100886
Verizon Wireless,1824,Verizon Wireless01824,CA,33.945522,-118.331912
TCC,19329,TCC19329,CA,34.0797043,-117.9524002
TCC,20248,TCC20248,CA,34.139236,-117.946533
TCC,20551,TCC20551,CA,32.7486343,-117.1492386
A Wireless,102,A Wireless0102,CA,33.937332,-118.12278
A Wireless,103,A Wireless0103,CA,37.707977,-121.872215
A Wireless,105,A Wireless0105,CA,32.80683,-116.967454
A Wireless,106,A Wireless0106,CA,32.740269,-116.937073
A Wireless,107,A Wireless0107,CA,38.408091,-121.417831
A Wireless,108,A Wireless0108,CA,38.451053,-121.371592
A Wireless,109,A Wireless0109,CA,33.102879,-117.075859
A Wireless,110,A Wireless0110,CA,33.132046,-117.060547
A Wireless,111,A Wireless0111,CA,33.068345,-117.065571
A Wireless,112,A Wireless0112,CA,40.780784,-124.190353
A Wireless,113,A Wireless0113,CA,38.665314,-121.224602
A Wireless,115,A Wireless0115,CA,38.670734,-121.156769
A Wireless,116,A Wireless0116,CA,34.150658,-117.473
A Wireless,117,A Wireless0117,CA,33.69417,-117.955457
A Wireless,118,A Wireless0118,CA,37.545089,-121.990089
A Wireless,119,A Wireless0119,CA,36.80904,-119.847786
A Wireless,120,A Wireless0120,CA,33.895821,-117.929192
A Wireless,121,A Wireless0121,CA,33.874361,-117.889674
A Wireless,122,A Wireless0122,CA,38.290028,-121.30658
A Wireless,123,A Wireless0123,CA,33.773148,-117.920565
A Wireless,124,A Wireless0124,CA,37.014278,-121.585007
A Wireless,125,A Wireless0125,CA,34.146219,-118.255427
A Wireless,126,A Wireless0126,CA,34.264571,-118.526874
A Wireless,127,A Wireless0127,CA,39.198692,-121.062347
A Wireless,128,A Wireless0128,CA,39.101273,-121.117889
A Wireless,129,A Wireless0129,CA,39.239525,-121.036965
A Wireless,130,A Wireless0130,CA,37.648931,-122.102871
A Wireless,131,A Wireless0131,CA,38.609229,-122.871895
A Wireless,132,A Wireless0132,CA,34.42181,-117.295212
A Wireless,133,A Wireless0133,CA,33.687759,-117.988622
A Wireless,134,A Wireless0134,CA,33.671081,-117.789115
A Wireless,135,A Wireless0135,CA,32.840465,-117.273422
A Wireless,136,A Wireless0136,CA,34.037175,-117.949031
A Wireless,137,A Wireless0137,CA,37.891012,-122.125702
A Wireless,138,A Wireless0138,CA,33.546274,-117.782173
A Wireless,139,A Wireless0139,CA,39.04901,-122.925268
A Wireless,140,A Wireless0140,CA,38.114487,-121.302544
A Wireless,141,A Wireless0141,CA,38.100322,-121.265747
A Wireless,142,A Wireless0142,CA,33.772725,-118.189732
A Wireless,143,A Wireless0143,CA,34.048268,-118.254467
A Wireless,144,A Wireless0144,CA,34.018806,-118.335053
A Wireless,145,A Wireless0145,CA,34.135841,-118.215175
A Wireless,146,A Wireless0146,CA,34.073452,-118.360458
A Wireless,147,A Wireless0147,CA,33.961848,-118.420938
A Wireless,148,A Wireless0148,CA,34.054775,-118.398224
A Wireless,149,A Wireless0149,CA,34.041759,-118.459526
A Wireless,150,A Wireless0150,CA,33.957832,-118.396175
A Wireless,151,A Wireless0151,CA,34.026498,-118.393645
A Wireless,152,A Wireless0152,CA,37.055965,-120.87413
A Wireless,153,A Wireless0153,CA,37.247528,-121.956108
A Wireless,154,A Wireless0154,CA,33.873146,-118.380997
A Wireless,155,A Wireless0155,CA,37.786299,-121.25544
A Wireless,156,A Wireless0156,CA,37.994568,-122.106403
A Wireless,157,A Wireless0157,CA,39.14558,-121.587524
A Wireless,158,A Wireless0158,CA,33.684509,-117.204773
A Wireless,159,A Wireless0159,CA,37.318703,-120.487381
A Wireless,160,A Wireless0160,CA,37.331216,-120.469009
A Wireless,161,A Wireless0161,CA,37.319442,-120.481698
A Wireless,162,A Wireless0162,CA,37.418438,-121.897476
